,no_of_reviews,net_promoter_score
dbs-altitude-visa-signature-card,51,13.0
dbs-womans-world-card,19,16.0
citi-rewards-credit-card,25,28.0
uob-preferred-platinum-visa-card,7,-14.0
citi-premiermiles-visa-card,37,-27.0
amex-singapore-airlines-krisflyer-credit-card,19,5.0
uob-prvi-miles-visa-card,10,20.0
amex-platinum-card,1,0.0
ocbc-90-degrees-n-mastercard,13,-23.0
amex-singapore-airlines-krisflyer-ascend-credit-card,2,0.0
ocbc-titanium-rewards-card,10,-20.0
hsbc-revolution-credit-card,16,-6.0
dbs-womans-card,1,0.0
dbs-black-visa-card,1,0.0
amex-platinum-credit-card,1,0.0
uob-lady-s-card,1,0.0
dbs-esso-card,1,0.0
amex-capitacard,2,-100.0
ocbc-voyage-card,1,0.0
amex-gold-card,1,0.0
standard-chartered-visa-infinite-x-credit-card,1,0.0
citi-prestige-card,1,0.0
maybank-horizon-visa-signature-card,1,0.0
boc-elite-miles-world-mastercard,1,0.0
dbs-takashimaya-visa-card,1,0.0
citi-clear-card,1,0.0
amex-singapore-airlines-solitaire-pps-credit-card,1,0.0
hsbc-visa-infinite-miles,1,0.0
ocbc-best-denki-credit-card,1,0.0
citi-lazada-card,1,0.0
dbs-takashimaya-american-express-card,1,0.0
standard-chartered-visa-infinite-credit-card,1,0.0
uob-prvi-miles-mastercard,1,0.0
dbs-altitude-american-express-card,1,0.0
dbs-black-american-express-card,1,0.0
ocbc-platinum-credit-card,1,0.0
uob-visa-signature-card,1,0.0
amex-personal-card,1,0.0
amex-platinum-reserve-credit-card,1,0.0
amex-rewards-card,1,0.0
amex-singapore-airlines-pps-club-credit-card,1,0.0
boc-travel-card,1,0.0
citi-premiermiles-american-express-card,1,0.0
dbs-nus-alumni-card,1,0.0
dbs-nuss-card,1,0.0
maybank-visa-infinite-card,1,0.0
maybank-world-mastercard,1,0.0
ocbc-arts-credit-card,1,0.0
standard-chartered-business-platinum-card,1,0.0
standard-chartered-nus-alumni-platinum-card,1,0.0
standard-chartered-priority-visa-infinite-credit-card,1,0.0
standard-chartered-prudential-platinum-card,1,0.0
uob-metro-card,1,0.0
